,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_wins,Citizen_games,Mafia_wins,Mafia_games,Sheriff_wins,Sheriff_games,Don_wins,Don_games
1424,Батя,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,Некий,-0.25,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1426,Сицилиец,-0.25,24.0,9.0,0.0,2.0,0.0,2.0,17.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0
1427,Снайпер,-0.5,22.0,11.0,0.0,1.0,0.0,0.0,9.0,5.0,4.0,2.0,5.0,1.0,4.0,3.0
1428,Фитс,0.0,44.0,16.0,0.0,4.0,0.0,3.0,29.0,10.0,7.0,1.0,7.0,4.0,1.0,1.0
1429,Бро,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1430,Тень,0.25,81.0,47.0,0.0,6.0,0.0,2.0,48.0,28.0,15.0,7.0,10.0,6.0,8.0,6.0
1431,Клирик,-0.5,32.0,15.0,0.0,3.0,0.0,1.0,16.0,8.0,4.0,2.0,7.0,2.0,5.0,3.0
1432,Чернослив,0.0,86.0,31.0,0.0,7.0,0.0,2.0,53.0,16.0,14.0,8.0,8.0,3.0,11.0,4.0
1433,Пятница,0.0,12.0,6.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
1434,Ворон,0.25,9.0,3.0,0.0,1.0,0.0,1.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
1435,Джа,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1436,Иван Викторович,0.0,26.0,13.0,0.0,2.0,0.0,0.0,16.0,9.0,7.0,3.0,1.0,0.0,2.0,1.0
1437,Фантомас,0.0,66.0,31.0,0.0,2.0,0.0,0.0,36.0,20.0,17.0,8.0,7.0,1.0,6.0,2.0
1438,Джонни,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
1439,Китана,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
1440,Мит,-0.5,40.0,16.0,0.0,1.0,0.0,0.0,25.0,14.0,7.0,1.0,2.0,0.0,6.0,1.0
1441,Орфея,0.0,11.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1442,Четвертый,0.0,17.0,11.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0
1443,Дедушка Западло,0.0,34.0,16.0,0.0,3.0,0.0,1.0,17.0,12.0,8.0,3.0,5.0,0.0,4.0,1.0
1444,Франческа,0.0,37.0,15.0,0.0,1.0,0.0,0.0,24.0,8.0,6.0,4.0,4.0,1.0,3.0,2.0
1445,Русич,0.0,26.0,12.0,0.0,4.0,0.0,0.0,14.0,5.0,7.0,3.0,3.0,3.0,2.0,1.0
1446,Томадейра,0.0,20.0,8.0,0.0,4.0,0.0,1.0,10.0,6.0,5.0,2.0,3.0,0.0,2.0,0.0
1447,Герыч,-1.0,25.0,9.0,0.0,1.0,0.0,1.0,15.0,8.0,4.0,1.0,5.0,0.0,1.0,0.0
1448,Гэндзи,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1449,Зая,0.0,46.0,30.0,0.0,4.0,1.0,1.0,27.0,16.0,11.0,8.0,2.0,1.0,6.0,5.0
1450,ProstoBob,0.0,49.0,26.0,0.0,6.0,0.0,2.0,27.0,13.0,13.0,9.0,5.0,2.0,4.0,2.0
1451,Зек,0.0,59.0,27.0,0.0,8.0,0.0,1.0,40.0,17.0,7.0,5.0,9.0,4.0,3.0,1.0
1452,bdsm,0.0,40.0,17.0,0.0,3.0,0.0,1.0,25.0,10.0,7.0,3.0,5.0,3.0,3.0,1.0
1453,Одиннадцать,0.0,55.0,23.0,0.0,4.0,0.0,1.0,37.0,14.0,12.0,6.0,3.0,2.0,3.0,1.0
1454,Баланс,0.0,22.0,14.0,0.0,4.0,0.0,1.0,13.0,7.0,3.0,3.0,3.0,1.0,3.0,3.0
1455,Двойное Дно,0.0,19.0,11.0,0.0,0.0,0.0,0.0,13.0,8.0,3.0,2.0,0.0,0.0,3.0,1.0
1456,nechelovek,0.0,14.0,8.0,0.0,1.0,0.0,0.0,9.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0
1457,Кузя,0.0,30.0,16.0,0.0,3.0,0.0,0.0,20.0,8.0,4.0,3.0,4.0,3.0,2.0,2.0
1458,Мяс,0.0,20.0,10.0,0.0,4.0,0.0,1.0,13.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0
1459,Чурка,0.0,11.0,5.0,0.0,1.0,0.0,0.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0
1460,Hazya,0.0,23.0,10.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,2.0,5.0,2.0,3.0,2.0
1461,Шшнана,0.0,14.0,6.0,0.0,1.0,0.0,0.0,7.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0
1462,Дамбо,0.0,17.0,7.0,0.0,1.0,0.0,0.0,7.0,3.0,3.0,0.0,1.0,1.0,6.0,3.0
1463,Рада,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1464,Lera,0.0,9.0,5.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0
1465,Дон,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
