,Game_result,Citizen,Mafia,Don,Sheriff
6069,город,"['Гость', 'Гость', 'Гость', 'Гость', 'Мандаринка', 'Мэк']","['Qasqyr', 'Гость']",Хирург,Гость
6070,мафия,"['Гость', 'Гость', 'Гость', 'Gera', 'Хирург', '633']","['Гость', 'Honey']",Гость,Король
6071,мафия,"['Хирург', 'Король', 'Мэк', 'MAJOR(SILVER)', 'Гость', 'Sauron']","['Куаныш', 'Zhuchikboss']",KIRA,Гость
6072,мафия,"['Гость', 'Zhuchikboss', 'Шкипер', 'KIRA', 'Гость', 'Лока']","['Куаныш', 'Гость']",Мэк,Король
6073,мафия,"['Гость', 'KIRA', 'Zhuchikboss', 'Куаныш', 'MAJOR(SILVER)', 'Гость']","['Шкипер', 'Гость']",Король,Лока
6074,мафия,"['Qasqyr', 'Гость', 'Гость', 'Гость', 'Мандаринка', 'Гость']","['Zhuchikboss', 'Гость']",Шкипер,Гость
6075,мафия,"['Мандаринка', 'Гость', 'Гость', 'Шкипер', 'Qasqyr', 'Pokerist']","['Гость', 'Гость']",Zhuchikboss,Мэк
6076,город,"['Гость', 'Zhuchikboss', 'Мандаринка', 'Гость', 'Гость', 'Шкипер']","['Гость', 'Pokerist']",Qasqyr,Мэк
6077,мафия,"['Мэк', 'Гость', 'Гость', 'Гость', 'Гость', 'Pokerist']","['Гость', 'Zhuchikboss']",Мандаринка,Qasqyr
6078,город,"['Гость', 'Гость', 'Гость', 'Pokerist', 'MAJOR(SILVER)', 'Qasqyr']","['Гость', 'Мандаринка']",Гость,Мэк
6079,город,"['Гость', 'KIRA', 'Гость', 'Мандаринка', 'Гость', 'Zhuchikboss']","['Гость', 'Гость']",633,Король
6080,мафия,"['Гость', 'Гость', 'Зубр', 'Гость', 'Мэк', 'Zhuchikboss']","['Олки', 'Король']",г-н BRO,Гость
6081,мафия,"['633', 'Гость', 'Мандаринка', 'KIRA', 'Гость', 'Король']","['Гость', 'Мэк']",Гость,Гость
6082,мафия,"['Гость', 'Нафаня', 'Мэк', 'Гость', 'KIRA', 'Гость']","['Гость', 'Гость']",Гость,Гость
6083,город,"['Мэк', 'Гость', 'Гость', 'Гость', 'Нафаня', 'Гость']","['Гость', 'Гость']",Гость,KIRA
6084,мафия,"['Куаныш', 'Гость', 'Гость', 'Гость', 'Мэк', 'Гость']","['Нафаня', 'Гость']",Гость,Гость
6085,город,"['Гость', 'Гость', 'Гость', 'Гость', 'Гость', 'Гость']","['Гость', 'Гость']",Мэк,Куаныш
6086,город,"['Мэк', 'Jane', 'Мандаринка', 'Гость', 'Qasqyr', 'Гость']","['ШМиД', 'Гость']",Гость,Гость
6087,город,"['Гость', 'Гость', 'Гость', 'г-н BRO', 'Король', 'Гость']","['Хирург', 'Гость']",Qasqyr,Jane
