,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_games,Citizen_wins,Mafia_games,Mafia_wins,Sheriff_games,Sheriff_wins,Don_games,Don_wins
722,Биби,0.16844563042028024,0.06374501992031872,0.06716417910447761,0.0,0.05714285714285714,0.125,0.0,0.07142857142857142,0.05128205128205128,0.03508771929824561,0.06666666666666667,0.02857142857142857,0.041666666666666664,0.1,0.09523809523809523
723,Губернатор,0.17845230153435626,0.043824701195219126,0.04477611940298507,0.038461538461538464,0.08571428571428572,0.0,0.14285714285714285,0.05844155844155844,0.05128205128205128,0.03508771929824561,0.06666666666666667,0.02857142857142857,0.0,0.0,0.0
724,Борода,0.17178118745830556,0.099601593625498,0.08208955223880597,0.038461538461538464,0.11428571428571428,0.0,0.0,0.12337662337662338,0.10256410256410256,0.03508771929824561,0.03333333333333333,0.11428571428571428,0.041666666666666664,0.03333333333333333,0.047619047619047616
725,Стелла,0.1551034022681788,0.02390438247011952,0.022388059701492536,0.0,0.02857142857142857,0.0,0.0,0.045454545454545456,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
726,Недобрый,0.17178118745830556,0.05179282868525897,0.029850746268656716,0.0,0.05714285714285714,0.0,0.14285714285714285,0.06493506493506493,0.038461538461538464,0.03508771929824561,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0
727,Пелагея,0.1217478318879253,0.04780876494023904,0.03731343283582089,0.0,0.0,0.0,0.0,0.06493506493506493,0.038461538461538464,0.017543859649122806,0.0,0.0,0.0,0.06666666666666667,0.09523809523809523
728,Джон,0.1551034022681788,0.0796812749003984,0.022388059701492536,0.0,0.0,0.0,0.0,0.08441558441558442,0.038461538461538464,0.08771929824561403,0.0,0.02857142857142857,0.0,0.06666666666666667,0.0
729,Inna,0.1551034022681788,0.01593625498007968,0.03731343283582089,0.0,0.0,0.0,0.0,0.012987012987012988,0.02564102564102564,0.017543859649122806,0.03333333333333333,0.02857142857142857,0.041666666666666664,0.03333333333333333,0.047619047619047616
730,seeing,0.1551034022681788,0.01195219123505976,0.022388059701492536,0.0,0.0,0.0,0.0,0.025974025974025976,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
731,Кармелла,0.1551034022681788,0.01195219123505976,0.022388059701492536,0.0,0.02857142857142857,0.0,0.0,0.01948051948051948,0.038461538461538464,0.017543859649122806,0.0,0.0,0.0,0.0,0.0
732,SouljaBoy,0.16511007338225486,0.01593625498007968,0.022388059701492536,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.041666666666666664,0.1,0.09523809523809523
733,Мягкий,0.16511007338225486,0.01593625498007968,0.022388059701492536,0.038461538461538464,0.0,0.0,0.0,0.025974025974025976,0.02564102564102564,0.0,0.0,0.02857142857142857,0.041666666666666664,0.0,0.0
734,Арсенал,0.1551034022681788,0.00796812749003984,0.014925373134328358,0.0,0.0,0.0,0.0,0.006493506493506494,0.01282051282051282,0.017543859649122806,0.03333333333333333,0.02857142857142857,0.0,0.0,0.0
735,GeneVa,0.1551034022681788,0.00796812749003984,0.014925373134328358,0.0,0.02857142857142857,0.0,0.0,0.012987012987012988,0.02564102564102564,0.017543859649122806,0.0,0.0,0.0,0.0,0.0
736,Петросян,0.1551034022681788,0.00796812749003984,0.014925373134328358,0.0,0.0,0.0,0.0,0.012987012987012988,0.01282051282051282,0.017543859649122806,0.03333333333333333,0.0,0.0,0.0,0.0
