,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_games,Citizen_wins,Mafia_games,Mafia_wins,Sheriff_games,Sheriff_wins,Don_games,Don_wins
1325,Крузенштерн,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1326,Валери,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1327,Ядерщик,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1328,Мирный,0.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1329,Гном,0.25,20.0,14.0,0.0,4.0,0.0,1.0,10.0,7.0,6.0,4.0,1.0,1.0,3.0,2.0
1330,Argus,0.0,8.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
1331,Станок,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
1332,4 предупреждения,0.0,20.0,12.0,0.0,3.0,0.0,0.0,14.0,7.0,4.0,4.0,1.0,1.0,1.0,0.0
1333,Малая,0.0,12.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
1334,Сатклифф,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
1335,Капитаня,0.0,6.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
1336,Себирол,0.3,21.0,10.0,1.0,3.0,0.0,0.0,14.0,6.0,4.0,3.0,1.0,1.0,2.0,0.0
1337,Sugar,0.0,25.0,12.0,0.0,2.0,0.0,0.0,18.0,9.0,3.0,0.0,1.0,0.0,3.0,3.0
1338,Гаспаров,0.25,14.0,6.0,0.0,2.0,0.0,1.0,8.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0
1339,Механик,0.1,7.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
1340,Вор,0.0,8.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0
1341,BeNata,0.0,12.0,4.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0
1342,IT,0.25,13.0,3.0,0.0,1.0,0.0,1.0,9.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
1343,Близнец,0.0,8.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
1344,Прайд,0.25,11.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0
1345,Незнайка,0.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1346,Гражданин,0.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
1347,filodendron,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1348,Крокодил Гена,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1349,Аллигатор,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1350,Карлита,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,Kaiser,1.9,52.0,26.0,2.0,5.0,0.0,4.0,30.0,14.0,8.0,5.0,4.0,1.0,10.0,6.0
1352,Капля,0.2,36.0,18.0,2.0,3.0,0.0,1.0,19.0,11.0,9.0,4.0,1.0,0.0,7.0,3.0
1353,Плаха,0.5,15.0,9.0,0.0,1.0,0.0,0.0,5.0,2.0,9.0,6.0,1.0,1.0,0.0,0.0
1354,Шафран,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1355,Незлобин,0.0,8.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
1356,Геката,2.2204460492503,25.0,10.0,2.0,4.0,0.0,1.0,15.0,4.0,7.0,4.0,2.0,2.0,1.0,0.0
1357,Сэм Голд,-0.8,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1358,Вадим,-1.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1359,Тиран,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1360,Сеньор Помидор,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1361,Эльф,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362,Niko,0.0,73.0,47.0,26.0,9.0,0.0,1.0,49.0,28.0,13.0,11.0,6.0,4.0,5.0,4.0
1363,Бонаква,0.0,55.0,26.0,5.0,7.0,0.0,0.0,34.0,14.0,10.0,4.0,6.0,3.0,5.0,5.0
1364,Тати,0.0,68.0,32.0,8.0,7.0,0.0,4.0,34.0,14.0,15.0,7.0,8.0,5.0,11.0,6.0
1365,Винс,0.0,54.0,31.0,8.0,5.0,1.0,0.0,31.0,18.0,5.0,4.0,5.0,2.0,13.0,7.0
1366,Джоджик,0.0,32.0,16.0,0.0,2.0,0.0,2.0,16.0,9.0,5.0,3.0,8.0,3.0,3.0,1.0
1367,Italia,0.0,36.0,15.0,3.0,1.0,0.0,0.0,23.0,10.0,8.0,3.0,2.0,1.0,3.0,1.0
1368,Vetas,0.0,42.0,17.0,1.0,1.0,0.0,0.0,20.0,5.0,14.0,5.0,5.0,4.0,3.0,3.0
1369,Мари,0.0,37.0,14.0,0.0,0.0,0.0,0.0,21.0,6.0,14.0,6.0,2.0,2.0,0.0,0.0
1370,Дюдюка,0.0,25.0,12.0,0.0,2.0,0.0,0.0,18.0,9.0,3.0,2.0,3.0,1.0,1.0,0.0
